ch_0,ch_1,ch_2
-0.021821349946549162,-0.00239906762544706,-0.02510105332476087
-0.022166157577885315,-0.0045671063162444625,-0.025909293981385417
-0.023087195586413145,-0.006032465989846969,-0.024581568141002208
-0.023610044081578963,-0.00693794527251157,-0.022753121811547317
-0.023419617718900554,-0.007216201083792839,-0.021848833057447337
-0.02251262776553631,-0.005856765710632317,-0.021086323613417335
-0.021133841073606163,-0.003453189037827542,-0.021595096768578514
-0.020978288375772536,-0.0031872577892499976,-0.023566824893350713
-0.022055086446925998,-0.0038720399970770814,-0.023865000912337564
-0.023977434466360137,-0.0041401035559829324,-0.024107708668452688
-0.02505500742699951,-0.0036018316222907742,-0.02550783938204404
-0.024592955014668405,-0.0031450852020498132,-0.026874078685068525
-0.025007901058415882,-0.003523817440509447,-0.02727130413404666
-0.02493686588422861,-0.005482252163346857,-0.028214441044838168
-0.024177696104743518,-0.0071245863182411995,-0.029303742849151604
-0.02400196717644576,-0.0072911075221782085,-0.02840271554305218
-0.023371418137685396,-0.007113583251339151,-0.02744536141108256
-0.02264091199322138,-0.0074010731623275205,-0.027806547223008238
-0.023012556994217448,-0.007295511750271544,-0.02779521128104534
-0.024160790417226963,-0.00650245283395634,-0.027385263820178807
-0.02588849383755587,-0.006533715350087732,-0.025835626729531214
-0.028193011530674994,-0.006378875241352944,-0.023645276087336242
-0.027455182134872302,-0.004774160515808035,-0.02284611400682479
-0.023995475203264505,-0.003375360165591701,-0.02488298196112737
-0.022325333702610806,-0.0023729428448859835,-0.025450930479564704
-0.024037521143327467,-0.0016459731568829739,-0.026342317141825333
-0.02584361209301278,-0.001425961727363756,-0.028244510758668184
-0.026980696929967962,-0.0022880280994286295,-0.02761447467491962
-0.027883668735739775,-0.0025970077786041657,-0.026462676032679155
-0.027371908799977973,-0.0018509338133299025,-0.026719499146565795
-0.025799256036407314,-0.002405194891252904,-0.02705316546780523
-0.02509302066755481,-0.00347135801348486,-0.02563236193964258
-0.023923785192891955,-0.004648964477382833,-0.024249502530437894
-0.022470710973720998,-0.005462161880132044,-0.023379634512821212
-0.022326990801957436,-0.004736125902127242,-0.023196271285996772
-0.025020266548381187,-0.003159248763040523,-0.02294455589435529
-0.025432336769881658,-0.0024263067643914837,-0.022500989871332422
-0.023017586499918252,-0.0030170272111718077,-0.023757962480885908
-0.021920799554209225,-0.003155546892230632,-0.024195511286961846
-0.022315143723972142,-0.0036310470932221506,-0.023581764253322035
-0.020983043214073405,-0.003184253955623717,-0.02359635072934907
-0.02060774750134442,-0.0013737372910327394,-0.023073996999301016
-0.023369879272649996,-0.0008787264960119501,-0.022799804355599917
-0.025843281036941335,-0.0018030465298579657,-0.02349255191802513
-0.02542090805945918,-0.0018335899767407682,-0.0244525472226087
-0.024347638827748597,-0.00024306456225531292,-0.022305306629277766
-0.024322567696799524,0.0001667778377623108,-0.021958647266728804
-0.024019222109927796,-0.00014063859055113426,-0.025373161406605504
-0.023341952328337356,-0.0011730558071576525,-0.0273855166597059
-0.02306014903297182,-0.002910350531237782,-0.025550400096108206
-0.024057910195551813,-0.0035709117582882755,-0.024268856577691622
-0.02384834260737989,-0.002890958057832904,-0.02516828681109473
-0.022266991436481476,-0.003367240651641623,-0.02704385951801669
-0.022541362341144122,-0.004690302830567816,-0.02675604628166184
-0.022226004148251377,-0.005464517016662285,-0.027041631255997345
-0.022334355890052393,-0.005198109647608362,-0.02792839950416237
-0.02340333412576001,-0.004638912287191488,-0.02607082024042029
-0.02343265623494517,-0.0035838149869960034,-0.0237587282754248
-0.02309410228917841,-0.0024447840587527025,-0.024838574972818606
-0.021621966880047694,-0.001636644469726889,-0.027506932383403182
-0.01954076469701249,-0.0012123180113121634,-0.028352396839181893
-0.017357686374452896,0.00043468440935612307,-0.02769942511804402
-0.017120788470492698,0.0004728119051833346,-0.02496681008778978
-0.017095666407840326,-0.0007104173960215121,-0.022897271264810115
-0.018606519006425515,-0.0025581477984815137,-0.022597401766688563
-0.020835101167904213,-0.0037035474633739796,-0.024070977815426886
-0.02411019704595674,-0.003966687017964432,-0.025705250664032064
-0.025270024707424454,-0.0033961796361836605,-0.026257279387209564
-0.024193981516873464,-0.003503816969896434,-0.02661385587998666
-0.024035331080085598,-0.004796327630174346,-0.0269967731583165
-0.024551809474360198,-0.005111687642056495,-0.025892801204463467
-0.023141812562244013,-0.003579274789444753,-0.024090060833259486
-0.020930801838403568,-0.0034026957109745126,-0.023692738977842964
-0.021470645151566714,-0.004104156687390059,-0.023356080419034697
-0.022897882445249707,-0.0031050105917529436,-0.021188912796787918
-0.023828752091503702,-0.002857772187780938,-0.018942395399790257
-0.022880778487888165,-0.005059373052063165,-0.01941241316671949
-0.02136302282451652,-0.005203754881222267,-0.020326724552433006
-0.02187781319662463,-0.0028130602913734037,-0.019742003132705577
-0.023397922632284462,-0.0021134037524461746,-0.02019173371081706
-0.025239729438908398,-0.004503680884226924,-0.021027464754297398
-0.024304506951011717,-0.005922065156482859,-0.021585206923191436
-0.02204360134783201,-0.0045771157601848245,-0.02201662391598802
-0.021246109099593014,-0.0034036725082842167,-0.02166283957194537
-0.021541807655012235,-0.003292072051408468,-0.021735302652814426
-0.021650941562256776,-0.0034895008411695017,-0.022040920157451183
-0.0212455379369203,-0.003652716486612917,-0.022319958588923328
-0.02129470340150874,-0.003998574811703293,-0.023039805455482565
-0.02164220313716214,-0.004664653260988416,-0.023514747226727195
-0.022325262762024067,-0.004870859811489936,-0.022127211195765994
-0.02251459409308154,-0.004709609584097052,-0.02219720590801444
-0.02265490729769226,-0.005185353984415997,-0.024164542992366478
-0.02253435377497226,-0.006620333806495182,-0.02693116584850941
-0.022208114387467504,-0.006614960057049757,-0.027951286028837785
-0.022736028768122196,-0.005691518254025141,-0.027001562557416037
-0.023568281903862953,-0.00473154932478792,-0.025658800950623117
-0.024117316570482217,-0.004928249381919159,-0.02607442183943931
-0.024860510166035965,-0.006602996108995285,-0.02696222873055376
-0.025535029635648243,-0.006737333478668006,-0.02832303107425105
-0.025937069949577563,-0.004734412868856452,-0.02790192775137257
-0.025736475436133333,-0.0019041051473323023,-0.026288973458576947
-0.024591898181824945,-0.0018262112462252844,-0.02800623042276129
-0.023003009118838236,-0.0031788219985173782,-0.029900284062023275
-0.02139039133908227,-0.0027660194064083043,-0.028355902031762525
-0.022717422325513326,-0.001231330770679051,-0.02627828871482052
-0.025338862542412244,0.0003606517111620633,-0.025806572011788376
-0.026125477234018035,2.0009501611184533e-05,-0.02627457070047967
-0.024497077902196907,-0.001307660568272695,-0.025996008844231255
-0.023183709345175885,-0.0020957870674465084,-0.026334320864407346
-0.022647547666565515,-0.003295363512734184,-0.02762075928330887
-0.021730589651269838,-0.0035852410746883834,-0.029050526791252196
-0.021649433620041236,-0.003310169404358021,-0.027793319532065652
-0.02343252344871871,-0.0039234437281265855,-0.024564087652834132
-0.025774987079785205,-0.0047516191443719435,-0.02255378603877034
-0.02633680560393259,-0.0036701292174257105,-0.025315455786767416
-0.026993024221155792,-0.0038512685023306403,-0.02824747389240656
-0.026298879674868658,-0.004786007593793329,-0.02618772123241797
-0.024560340534662828,-0.002756926960501005,-0.020974404833395965
-0.02379582656431012,-0.0021752030079369433,-0.02002202563744504
-0.024331169697688892,-0.0037428530959005,-0.0222419694182463
-0.024456521714455448,-0.003407639042052324,-0.024962262614280917
-0.025347495466121472,-0.002254261744383257,-0.026907577193924226
-0.026438872737344354,-0.002723301577134407,-0.0267984505626373
-0.026235518816974945,-0.0056509452406316996,-0.026875648472923785
-0.025811941668507643,-0.007421585905831307,-0.025944784283638
-0.025910061594913714,-0.006854173534520669,-0.023159407646744512
-0.025243210984626785,-0.006277704869717127,-0.022467360395239666
-0.02514301559131127,-0.00650280162517447,-0.024899614800233394
-0.026579760742606595,-0.006075197234167717,-0.027068841518484987
-0.02735260386543814,-0.004877243100054329,-0.02650842725415714
-0.026239427825203165,-0.003496000545055722,-0.024501148800482042
-0.0245697647187626,-0.0031695883535576286,-0.024176413717214018
-0.024529430447728373,-0.003053728278246126,-0.02413330730632879
-0.026637249902705662,-0.0025000206278491532,-0.023018217689241283
-0.02724612204474397,-0.0002197899533484815,-0.02277457133459393
-0.026122081180801615,0.0003170638080973731,-0.024594910428277217
-0.024760513042565435,-0.0020665750071202638,-0.025860403184196912
-0.024494958779541776,-0.004389209152577678,-0.024277040211018175
-0.025297060346929356,-0.005534059255296597,-0.02267760646645911
-0.0259192365774652,-0.007116521373973228,-0.023545704607386142
-0.025754185116966255,-0.008097786121652462,-0.025111758077400737
-0.024778622901067138,-0.00733505112293642,-0.0245861810981296
-0.025003320843097754,-0.005602666533377487,-0.02435837268421892
-0.025622413886594586,-0.004522451490629464,-0.025339590138173662
-0.02435218630125746,-0.004343206910562003,-0.02551184661570005
-0.024571800167905167,-0.005783990673080552,-0.023681688617216423
-0.025691393602755852,-0.006924366971361451,-0.022512753275805153
-0.025447638108744286,-0.006827234301454155,-0.023647309717489406
-0.024612209017504938,-0.006174443115014583,-0.025431974790990353
-0.023348091417574324,-0.005472197244671406,-0.025599703803891316
-0.022856020223116502,-0.005035717549617402,-0.024541855964343995
-0.02298490289831534,-0.004508981874096207,-0.022513966541737318
-0.024182065317290835,-0.004430864464666229,-0.020723902707686648
-0.0251863275479991,-0.004013048965134658,-0.020555236915242858
-0.023645525288884528,-0.0027186708848603303,-0.02179984949179925
-0.02114934250130318,-0.0022069966689741705,-0.0232152142416453
-0.02098771983582992,-0.004187999365967698,-0.023346898160525598
-0.021915679099038243,-0.004439687018020777,-0.02418824442429468
-0.02101395875797607,-0.003162276470902725,-0.02451780892442912
-0.020539948309306055,-0.0027266735287412303,-0.023373622752842493
-0.022787044144934043,-0.0013818305433233036,-0.02256446714454796
-0.024663049771334045,-0.0008582988471061981,-0.021224794181762263
-0.02371875598328188,-0.0017676043171377387,-0.02156914160877932
-0.021875379388802685,-0.003125531975456397,-0.02317162579856813
-0.021524441763176583,-0.0035927450880990364,-0.022857690055388957
-0.022089137928560376,-0.002968371745737386,-0.02202980795118492
-0.022457817976828665,-0.0025598940283089178,-0.02274572034366429
-0.022345921024680138,-0.003472706339380238,-0.023663915271754377
-0.022184558474691585,-0.004437124061951181,-0.02444347228447441
-0.021019619452999905,-0.004855031420447631,-0.024976596250780858
-0.019432376575423405,-0.005010143468098249,-0.024924596800701693
-0.018288628780283034,-0.004348613856564043,-0.02692634370760061
-0.020011235392303206,-0.004317501861805795,-0.029082973924232647
-0.021732634195359424,-0.00486843009639415,-0.029061313398415223
-0.022105592506704852,-0.00430963018516195,-0.0289404415525496
-0.02265813236590475,-0.0028517047212517355,-0.029493661713786423
-0.023732251065666787,-0.0025889230528264306,-0.029403177904896438
-0.024332321117981337,-0.00285576220449002,-0.02846511961251963
-0.024554430638090707,-0.003377377879587584,-0.02804586802085396
-0.025374223696417175,-0.004519284630077891,-0.0264866557699861
-0.026988131139660254,-0.004086331500730012,-0.024689885322004557
-0.029349765100050718,-0.0030050691748328973,-0.025462746634730138
-0.03095749343628995,-0.0031611907616024837,-0.0266279330389807
-0.030211069315555505,-0.0056995181694219355,-0.02700763798202388
-0.028152982849860564,-0.006909103376528947,-0.02701494850043673
-0.02490071528882254,-0.007213830031105317,-0.02652472903719172
-0.022405714844353497,-0.007184049536590464,-0.025289837140007876
-0.02304768167959992,-0.006204380952112842,-0.0235737443290418
-0.02388453322055284,-0.0029660532163688913,-0.023567066818941385
-0.023364040316664614,-0.0013548607284974423,-0.02456425136188045
-0.022481097403215244,-0.0031448730624106247,-0.024342984033864923
-0.02138797390216496,-0.00399454665966914,-0.02299600964761339
-0.020874855181318708,-0.002860869471987826,-0.022115551473689266
-0.021055609977338463,-0.001849250224950083,-0.02321164356544614
-0.02210841739724856,-0.0026359466573921964,-0.023412363589159213
-0.022172433091327548,-0.003446800747042289,-0.02182638127123937
-0.021353625925257802,-0.0035279540497867856,-0.023114629584597424
-0.022326672478811815,-0.0028283093342906795,-0.0228956214414211
-0.022630840248893946,-0.002110660489051952,-0.020382507500471547
-0.022409587472793646,-0.0013860516219210695,-0.01973608959815465
-0.022963406081544235,-0.0007117361633390829,-0.02151024636987131
-0.023101301849237643,-0.0007799580430400965,-0.023316732040257193
-0.021577747247647494,-0.0021548762560996693,-0.023945804059621878
-0.01972694917640183,-0.0031748079436511034,-0.023098975361790508
-0.02068349567707628,-0.004639711733034346,-0.02214962114521768
-0.022279349650489166,-0.006381452294590417,-0.02302928078279365
-0.022430120225180872,-0.006412281436496414,-0.024032789951888844
-0.021407582607935183,-0.005428228178061545,-0.024028055122471415
-0.02072538700303994,-0.004063975211465731,-0.02372940070927143
-0.021259576897136867,-0.004166408871242311,-0.024273233066196553
-0.021658477635355666,-0.006541333732457133,-0.024353008484467864
-0.021820007532369345,-0.0056593526096548885,-0.024546256099711172
-0.024247752662631683,-0.0026583909402688732,-0.027710253561963327
-0.02567842420830857,-0.0015485998119402211,-0.029587032258859836
-0.024940485673141666,-0.0019744854853342986,-0.028672851840383373
-0.022483904103864916,-0.003242280399717856,-0.026855406758841127
-0.020871324522886425,-0.0038979578675935045,-0.026026717023341917
-0.02126343679265119,-0.0035262314668216277,-0.026179981432505883
-0.022849531887914054,-0.003127212949038949,-0.026065124984597787
-0.022440381144406274,-0.0028543092867039377,-0.025504194127279334
-0.020747329472214915,-0.003471691570666735,-0.025107088731601834
-0.02003673762374092,-0.0041037992559722625,-0.025544281015754677
-0.019528033590177074,-0.004343628461356275,-0.0245039482251741
-0.021239857233013026,-0.002273176278322353,-0.022551575966645032
-0.024730288714636117,-0.0018873054159485037,-0.023286886062123813
-0.026369982151663862,-0.0033783019262045855,-0.021988036678521894
-0.02664438034116756,-0.0047659982556069735,-0.02229798337793909
-0.02736282658588607,-0.004677468496083748,-0.023488924853154458
-0.028198059226269834,-0.005526729182747658,-0.022388152501662262
-0.028663627745117992,-0.005210750259720953,-0.021077763449284248
-0.027242231226409785,-0.004446781986189308,-0.02195019078499172
-0.02582878732937388,-0.00392919673686265,-0.02373480674577877
-0.025788129278225824,-0.004207193342153914,-0.023500162569689564
-0.025729395929374732,-0.005367923222365789,-0.022637072106590495
