ch_0,ch_1,ch_2
-0.022960995920584537,0.0010739903473222512,-0.026433301172801293
-0.023153223082772456,0.00031548646006740455,-0.026544426873442717
-0.02181104355258867,-0.0007091961151672876,-0.028056319933966734
-0.021198144168010913,-0.0009434239700567559,-0.027863154173246585
-0.021323177861631848,-0.00014780654566948215,-0.02715698428801261
-0.021174346329644322,-0.0003672121522413363,-0.026340554541093297
-0.021897791157243773,-0.0015551233900623629,-0.02544150447647553
-0.023594795493409038,-0.001509822027401242,-0.023732922272756696
-0.02432011388009414,-0.0001618246869838913,-0.021904692403040826
-0.023736873117741197,0.00042059383531523054,-0.0196441869775299
-0.024463972295052372,0.0011182069101778325,-0.019942099243053235
-0.024962462703115307,0.0014294029142547515,-0.0217950528167421
-0.024901461074477993,4.955293775310565e-05,-0.02354809839744121
-0.024937166017480195,-0.0015040330936244573,-0.024886488972697407
-0.023638787752133794,-0.0014615442296417314,-0.025515408196952194
-0.02101984318869654,-0.0015716555026301648,-0.024606903025414795
-0.019766455807257444,-0.003456139666013769,-0.024207736714743078
-0.01998801963054575,-0.0038343846426869277,-0.02493185456842184
-0.020405999748618342,-0.0031807160212338204,-0.02478318492649123
-0.022040689145796932,-0.0034388872336421628,-0.02282569585076999
-0.02357075209147297,-0.0032262830700346967,-0.020779945771209896
-0.02366287480981555,-0.002842671165126376,-0.019979654098278843
-0.02402968493697699,-0.0028765534807462245,-0.0214048213820206
-0.02438402771076653,-0.003133821792289382,-0.02286414019181393
-0.024825083528412506,-0.003869365173159167,-0.024400820620940067
-0.02504388066881802,-0.003604077392083127,-0.02625102388265077
-0.024405899239354767,-0.002845740027623833,-0.02693568603717722
-0.025020044631673954,-0.00280529434348864,-0.025563302187947556
-0.025079634724534117,-0.004411887857713737,-0.023636812329641543
-0.023014526959741488,-0.005629164206766291,-0.02270587719976902
-0.021880483473069035,-0.00426715951107326,-0.02192652209487278
-0.022187985450727865,-0.00276994410342013,-0.021411820853245445
-0.02205639611929655,-0.0037535285173362354,-0.02294376099598594
-0.022874079149914905,-0.005062466698291246,-0.025423993065487593
-0.023970040274434723,-0.005213070835452527,-0.025675706638139673
-0.024666056560818106,-0.004178259132459061,-0.0240083481912734
-0.024607294108136557,-0.003848810138151748,-0.023748871171846986
-0.023934951968840323,-0.003469693865554291,-0.023269600205821916
-0.02375984149693977,-0.002483717707946198,-0.02360860707995016
-0.02371678056078963,-0.0031767403925186954,-0.023569698896608315
-0.023103271814761683,-0.005554136350838235,-0.023515269276686013
-0.023309268726734444,-0.006217427653609775,-0.022944097509025596
-0.02423182741040364,-0.005138623691891553,-0.021826428564963862
-0.024455941456835717,-0.004524507403402822,-0.021752579414169304
-0.024345154088223353,-0.005362756837712368,-0.022091908249421977
-0.025111243303399533,-0.005571425845118938,-0.022300326236290857
-0.02478488204360474,-0.004262493348505814,-0.02344933818676509
-0.024043600205914117,-0.0032451221159135457,-0.022600885131396353
-0.023008215066511184,-0.0028612309961317806,-0.021634366930811666
-0.02295776539540384,-0.0025918275241565425,-0.022797470592195168
-0.022574522517970763,-0.0013732203569816193,-0.02434308953525033
-0.021939164071227424,-0.000792500884472247,-0.024190931071643718
-0.02168408354918938,-0.0024458320240228204,-0.02268241223646328
-0.020748269889736548,-0.004099682428204687,-0.021386525986599736
-0.019893448552465998,-0.004539683231996605,-0.019997039998997934
-0.02082785613310989,-0.00452419862995157,-0.020694280465249904
-0.021863823349121958,-0.003747166829271009,-0.02292485260113608
-0.02041522748186253,-0.0027346814022166654,-0.02440884600218851
-0.018781207472784445,-0.0037637266814272152,-0.023419746867148206
-0.017770515114534646,-0.005281437552184798,-0.022326832549879327
-0.01822819103836082,-0.005546900410990929,-0.024073115127976052
-0.019092920410912484,-0.004082439318153774,-0.02532546568545513
-0.018247728803544305,-0.004216238721710397,-0.02254158243886195
-0.01659085501160007,-0.004603564775607083,-0.01954499020939693
-0.01685979987087194,-0.0034950780900544487,-0.019111761503154412
-0.019440944015514106,-0.0017588673699719948,-0.021584699425147846
-0.02255215440527536,-0.001957873564606416,-0.021812675186083652
-0.02412830144749023,-0.0035311575175001053,-0.020076005966984667
-0.024026243409025483,-0.004775403340318007,-0.019359007637831382
-0.023285378119908273,-0.004569041720969835,-0.020466502974159084
-0.023425898689310998,-0.0030402040920307627,-0.019918988982681185
-0.023893204343039542,-0.0015227992662403267,-0.018134214769816026
-0.023491704268963076,-0.002996859166159993,-0.01917370900628157
-0.023035448975861073,-0.004382823135529179,-0.02164708166674245
-0.022386020646081306,-0.002519101599318674,-0.023218111891765147
-0.022980513676884584,-0.0021758339698862983,-0.025015675419126637
-0.023678761863266118,-0.004893770892522298,-0.02428523475828115
-0.02363001294725109,-0.007602975983900251,-0.02387057975283824
-0.023697026335867122,-0.00867402741278056,-0.025520013878121972
-0.02457152913848404,-0.007196895239758305,-0.02706644772842992
-0.024756795028224587,-0.005170108124730177,-0.02597835373308044
-0.023619490093551576,-0.00497621977046947,-0.025794583052629605
-0.023088337911758572,-0.0062334456742974,-0.027475076421978883
-0.023577907995786518,-0.006880999535496812,-0.028835902412538417
-0.02512934588594362,-0.00643687735646381,-0.028588183340616524
-0.025918414394254796,-0.0047228049879777245,-0.027378990125725977
-0.024256736651295796,-0.0025595486476959195,-0.02592839337012265
-0.02158944153052289,-0.0027734224659070605,-0.02538598891987931
-0.021647068933816627,-0.00301950103676063,-0.025341934815514833
-0.02339149432373233,-0.0018714741827352555,-0.0243950926233083
-0.02535137718950864,-0.0028491551802289905,-0.025779876523301937
-0.024781915271887556,-0.005470370524562895,-0.026944922865368426
-0.021991130779497325,-0.004387488388601923,-0.027758103897213005
-0.021304307665559463,-0.0014557259646608145,-0.02575679354777094
-0.022270403860602528,-0.0005435686034616083,-0.02233666236861609
-0.021925068722339347,-0.0013182195743866032,-0.021481757357832976
-0.020323601347627118,-0.00333599018631503,-0.022552454538526945
-0.019837827494484372,-0.006108118668635143,-0.02275364749948494
-0.020808822227991186,-0.00658434146316722,-0.022597308998228982
-0.02204976772191003,-0.004161722699791426,-0.0226720094360644
-0.02347508052480407,-0.0023854809114709496,-0.022647325749858283
-0.026135163352591917,-0.0017140214367827866,-0.02421972203592304
-0.027038317057304084,-0.001513252414042654,-0.024833212592056952
-0.027021582354791462,-0.0025976858069043374,-0.02610694536997471
-0.026933041226584464,-0.003744818286577356,-0.02710954868234694
-0.02503957148292102,-0.003987665877502877,-0.02647431210789364
-0.02401395067863632,-0.0033691806038405048,-0.02507973840693012
-0.023619515559403226,-0.0014379779713635799,-0.0229959114221856
-0.02196770947193727,-2.2534431209919603e-05,-0.022629443265032023
-0.02011406104429625,-0.0006958054541428282,-0.024887529434636235
-0.01974856058950536,-0.0023064551442075754,-0.025415320124011487
-0.020686775314970873,-0.002851109456969425,-0.02378987119300291
-0.02178085378545802,-0.0018651722939466708,-0.022163932953844778
-0.021704809114453383,-0.0015056934898893815,-0.022235035430639982
-0.02077114004350733,-0.002109929937432753,-0.022319240088108927
-0.019344428437761962,-0.002340221499252948,-0.020397003027028404
-0.019335559045430273,-0.002532849748604349,-0.019653578419820406
-0.020112007405259646,-0.003072324034292251,-0.02039102400885895
-0.021354118871386163,-0.005050925210525747,-0.021343532353057526
-0.021391315385699272,-0.005527840130525874,-0.023432592570316046
-0.021100624508108012,-0.004088999958185013,-0.0250009852607036
-0.021382698832894675,-0.0025071201434911927,-0.02595912155811675
-0.02231646067230031,-0.0016738849808461964,-0.026024114049505442
-0.022839038138044998,-0.0024940952698671026,-0.02457288974255789
-0.023001806766842492,-0.0035503742310538655,-0.024080494767986238
-0.022988917407928966,-0.0038585849324590527,-0.02575766120571643
-0.02313175718882121,-0.003472432354101329,-0.026867815904552117
-0.025293165890616365,-0.0032115087833517464,-0.025890634788083844
-0.027241901989327744,-0.004429959062690614,-0.02412322282907553
-0.026683495889301412,-0.005871305802429561,-0.024006498279049993
-0.025200462914654054,-0.00688110094415606,-0.024388436941080727
-0.025383533284184523,-0.006486295660579344,-0.022610480300500058
-0.02531967402319424,-0.003794656777245109,-0.02060335100395605
-0.02320363637409173,-0.0023470804535463685,-0.02274271537316963
-0.02095618037856184,-0.0016716612663003616,-0.025710000045364723
-0.020597264665411785,0.0002402135805823491,-0.02502064853615593
-0.02133717316610273,-0.00021347504741697776,-0.021073257812531665
-0.021643378204316832,-0.002797197794279782,-0.01689029704721179
-0.02155023867089767,-0.0038069658785389038,-0.01554737173137255
-0.022094509404269047,-0.0032388097679358907,-0.017597565602045506
-0.023424507162417285,-0.003158445451845182,-0.021290965378284454
-0.024402270355494693,-0.004674495357903652,-0.021850268240086734
-0.02628670154081192,-0.004551531674223952,-0.022292208086582832
-0.027117021090816706,-0.0035466323424770962,-0.024070448489510454
-0.025284363800892606,-0.00427093527832767,-0.025612769604776986
-0.024600705728516914,-0.004741252723761136,-0.025067569367820397
-0.02435017449897714,-0.004070494014740689,-0.024363749616895802
-0.024549044610466808,-0.003187931042702985,-0.02356985532969702
-0.02549725650169421,-0.002051161800409318,-0.02203543044743128
-0.026575062292977236,-0.0020827462776651373,-0.021402869606390595
-0.02592097189335618,-0.0032835177989909425,-0.02164010402339045
-0.023418289856635965,-0.003603195636969758,-0.021349205781007186
-0.02214869346062187,-0.0018312302927370183,-0.022665333744953386
-0.022237703888094984,-0.00025777310952435073,-0.025427740183658898
-0.023047219656291418,-0.001997941581066698,-0.026006307962234132
-0.023154370865086094,-0.004828731107409112,-0.02416957067907788
-0.023339134713751264,-0.0055439313655369915,-0.022480733605334535
-0.02315583151357714,-0.004073020136274863,-0.02440351454424672
-0.02322004729649052,-0.0025725189516379032,-0.025146235202555545
-0.023564933144371025,-0.00321870788866363,-0.025164976250380278
-0.023792510546627454,-0.004831455498788273,-0.025870691388263367
-0.023411970687448047,-0.005658821010001702,-0.026235717086819932
-0.023300328393816017,-0.005432612852018792,-0.025712626666063443
-0.02374534415139351,-0.004517747584031895,-0.02587241215223912
-0.024536060664104298,-0.004298356998333475,-0.02515667256375309
-0.025336723410873674,-0.005364120170270326,-0.021446092432597652
-0.023911159587441944,-0.0057558650041755755,-0.01921980219776742
-0.02250179386464879,-0.0036585120142262895,-0.020202120140311308
-0.022927675672690384,-0.002593578528831131,-0.02180950468755327
-0.023793001673766412,-0.0031606900847691577,-0.023286185751203448
-0.024296876290463842,-0.0038612456592090894,-0.02306594979017973
-0.023047936338116415,-0.0037483800952031743,-0.020436493286979385
