Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
212.000000,16933.882765,18894.734251,-13342.024486,-396.855223,-13873.616025,-4029.237214,1377.806232,-553.965635,11507.549764,15728.274373,-1480.110166,2594.076406,-17787.965272,16175.130448,2466.559704,559.754736,0.004000,-0.018000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932679,101.000000
214.000000,16948.746675,18895.583617,-13307.826317,-376.425728,-13848.984402,-4014.954450,1390.569078,-532.552663,11515.059950,15747.742742,-1450.650567,2606.839252,-17750.034362,16191.715442,2322.525063,305.011905,0.004000,-0.018000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932736,0.000000
216.000000,16930.909983,18889.459239,-13348.171216,-406.734694,-13879.785106,-4036.188607,1370.161935,-562.101670,11496.083319,15737.706809,-1460.619445,2594.702255,-17762.327822,16182.953558,2372.995302,406.511176,0.006000,-0.010000,1.004000,192.000000,0.000000,24.000000,127.500000,88.000000,15.500000,48.000000,0.000000,0.000000,0.000000,1775739313.932778,0.000000
218.000000,16953.015858,18894.466030,-13316.588201,-387.869822,-13859.221501,-4024.431589,1383.774147,-539.749925,11521.944287,15741.216033,-1470.163640,2596.758616,-17777.750525,16182.595930,2413.027276,496.141672,0.006000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932820,0.000000
220.000000,16943.784588,18898.623454,-13327.652315,-398.777473,-13868.966862,-4033.394639,1375.034615,-547.461277,11482.649920,15747.116893,-1442.805105,2602.614773,-17748.268574,16194.956445,2263.874085,232.167570,0.006000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932862,0.000000
222.000000,16934.463910,18889.727460,-13341.331582,-404.857147,-13879.338071,-4037.797932,1372.039482,-556.960768,11504.599333,15733.817605,-1478.791413,2592.332970,-17793.977892,16181.567750,2471.097108,569.902428,0.006000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932904,0.000000
224.000000,16969.958481,18913.800289,-13308.429814,-381.633685,-13848.827940,-4025.415066,1384.332941,-529.781047,11512.869479,15750.201434,-1454.629177,2603.911174,-17758.326859,16191.938960,2325.810769,301.882661,0.006000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932938,0.000000
226.000000,16946.489149,18906.401861,-13348.059457,-401.482034,-13880.567417,-4038.848464,1372.419461,-553.071565,11509.069682,15746.491044,-1458.339567,2604.537023,-17764.495941,16191.558980,2387.546287,398.844528,0.002000,-0.010000,1.000000,192.000000,0.000000,8.000000,127.500000,88.000000,15.500000,32.000000,0.000000,0.000000,0.000000,1775739313.932949,0.000000
228.000000,16943.695181,18905.060757,-13315.425910,-374.570534,-13855.801684,-4021.838787,1388.915049,-530.898634,11504.711092,15752.928347,-1463.256951,2607.889784,-17753.610641,16197.035157,2443.984442,491.827785,0.002000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932961,0.000000
230.000000,16920.225849,18877.635166,-13328.948716,-386.416958,-13866.351708,-4027.158502,1377.158031,-544.510847,11472.569284,15756.996364,-1437.530093,2615.869357,-17763.780685,16204.880620,2291.389083,214.487340,0.002000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932973,0.000000
232.000000,16909.608771,18877.813980,-13340.169292,-389.009761,-13872.096106,-4020.542386,1376.308665,-554.837353,11496.865630,15754.045934,-1479.283152,2602.368903,-17802.270389,16195.537590,2489.447890,559.195943,0.002000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932984,0.000000
234.000000,16917.968323,18876.048193,-13308.072186,-367.552086,-13845.117551,-4006.572545,1387.842165,-535.056059,11476.793763,15770.049783,-1457.803125,2612.293078,-17766.932281,16212.904896,2339.043002,288.918649,0.002000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.932996,0.000000
236.000000,16865.642889,18852.690620,-13347.411257,-394.329476,-13877.125249,-4018.977764,1371.123060,-566.393204,11466.243740,15753.218919,-1474.857506,2599.574935,-17789.485191,16206.624056,2395.659971,382.639513,0.010000,-0.014000,1.010000,192.000000,0.000000,40.000000,127.500000,72.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1775739313.933008,0.000000
238.000000,16881.423221,18851.014239,-13313.950695,-370.837792,-13852.538330,-4009.590031,1391.217278,-543.728536,11455.984289,15763.791295,-1481.071291,2599.239659,-17796.168363,16214.357759,2456.791992,477.612076,0.010000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933019,0.000000
240.000000,16858.155055,18838.497262,-13328.613440,-383.980618,-13861.255510,-4014.708580,1380.779014,-555.239684,11419.394483,15767.412277,-1458.853657,2605.118168,-17757.030458,16220.884469,2300.776816,192.716741,0.010000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933031,0.000000
242.000000,16866.179331,18836.776177,-13338.716428,-389.926182,-13863.334222,-4008.025409,1379.102633,-561.006434,11449.546987,15753.263623,-1496.181070,2594.121110,-17795.207238,16207.987512,2507.642210,547.595387,0.010000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933042,0.000000
244.000000,16879.031584,18852.780027,-13305.769957,-368.334397,-13831.080655,-3993.005036,1389.429139,-538.051193,11448.138827,15771.010908,-1466.430898,2608.537985,-17764.048906,16223.969009,2357.214970,277.809832,0.010000,-0.014000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933054,0.000000
246.000000,16874.091849,18852.869434,-13348.573547,-391.535508,-13864.652975,-4004.315019,1372.866496,-561.386414,11451.245719,15769.580396,-1474.857506,2600.692523,-17768.474551,16220.884469,2404.958296,375.039920,0.006000,-0.016000,1.008000,192.000000,0.000000,24.000000,127.500000,64.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1775739313.933065,0.000000
248.000000,16890.632140,18861.720724,-13315.314152,-364.154621,-13837.540309,-3988.132356,1390.971409,-533.782009,11465.997871,15783.170257,-1478.500840,2612.516595,-17784.970139,16229.400483,2457.373137,476.896820,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933077,0.000000
250.000000,16866.715773,18833.334009,-13333.083789,-377.833888,-13848.425609,-3992.446243,1379.616723,-549.428230,11427.642277,15773.536655,-1451.723451,2618.797436,-17752.649516,16232.105044,2291.769062,196.740055,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933088,0.000000
252.000000,16864.838226,18850.567204,-13343.723219,-385.902868,-13860.786123,-3995.150804,1378.767357,-557.005472,11447.311812,15754.671783,-1493.655323,2599.910212,-17796.436584,16212.681378,2498.612106,565.745004,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933100,0.000000
254.000000,16900.779832,18877.009318,-13305.412329,-362.724109,-13831.035951,-3979.102251,1392.960714,-533.402030,11452.072734,15779.839847,-1463.279303,2614.572956,-17771.357926,16228.372303,2345.793229,287.577544,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933112,0.000000
0.000000,16873.309538,18865.274652,-13345.377248,-392.049598,-13858.059211,-3994.368493,1374.274656,-563.286312,11453.167969,15762.271376,-1476.511535,2603.240621,-17781.125639,16221.577373,2402.656067,385.947572,0.006000,-0.016000,1.008000,192.000000,0.000000,24.000000,127.500000,64.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1775739313.933123,0.000000
2.000000,16893.359052,18867.174550,-13309.078015,-367.529734,-13834.768693,-3977.559981,1392.290162,-535.905425,11469.820019,15770.943853,-1478.970227,2609.409703,-17782.757316,16224.907783,2466.984387,498.622715,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933135,0.000000
4.000000,16894.208419,18866.951033,-13319.359817,-378.124461,-13844.491702,-3987.640618,1384.131775,-542.074507,11434.280745,15775.905940,-1444.727355,2619.065657,-17724.642780,16235.457806,2301.916754,205.434883,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933147,0.000000
6.000000,16886.452363,18867.733344,-13333.106140,-383.421824,-13856.919272,-3992.781519,1384.064720,-551.819867,11467.204865,15762.785466,-1482.188878,2603.799415,-17795.095479,16219.878640,2510.726751,565.856763,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933159,0.000000
8.000000,16911.061634,18881.457315,-13293.431794,-360.041900,-13825.559774,-3978.163478,1399.733293,-526.920024,11461.236949,15779.705737,-1457.713718,2614.707066,-17755.242319,16231.300382,2360.187752,286.594067,0.006000,-0.016000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933170,0.000000
10.000000,16871.364936,18867.755695,-13341.309230,-393.301295,-13864.854141,-4008.718313,1378.432081,-564.023920,11449.479932,15769.960376,-1466.162678,2606.146348,-17763.333650,16224.550155,2413.787235,362.344129,0.008000,-0.014000,1.005000,192.000000,0.000000,40.000000,127.500000,80.000000,15.500000,40.000000,0.000000,0.000000,0.000000,1775739313.933182,0.000000
12.000000,16875.455305,18861.094875,-13309.837974,-370.480164,-13843.530577,-3996.983647,1394.212412,-543.996757,11465.282615,15765.802952,-1488.313256,2598.792624,-17789.664005,16209.172155,2473.980483,487.044512,0.008000,-0.014000,1.005000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933194,0.000000
14.000000,16877.846942,18862.234814,-13318.756320,-378.973827,-13851.845426,-3988.467632,1384.444700,-550.724632,11437.342934,15768.440457,-1455.657358,2608.537985,-17748.022705,16219.118681,2303.257859,192.515575,0.008000,-0.014000,1.005000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933205,0.000000
16.000000,16865.933462,18857.764466,-13334.938983,-391.289638,-13853.834731,-3993.474423,1379.013226,-569.410690,11456.565435,15752.146036,-1496.784567,2592.869412,-17793.419098,16205.148841,2508.715094,548.511809,0.008000,-0.014000,1.005000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775739313.933216,0.000000
