Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
210.000000,16249.986440,19152.047533,-16229.109911,1000.709951,-15510.031940,-1470.163640,479.489622,-9230.666963,11023.343923,16451.733285,-4120.208814,2354.398650,-19159.200091,16470.396992,542.812114,-1415.290107,0.006000,-0.018000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795191,101.000000
212.000000,16247.706562,19154.908556,-16242.342143,996.373713,-15516.603353,-1465.514477,477.209744,-9242.848664,11076.295206,16451.286251,-4150.763649,2348.877770,-19204.261208,16470.084068,684.924505,-1176.796994,0.006000,-0.018000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795266,0.000000
214.000000,16263.218673,19163.066943,-16204.522992,1015.238585,-15490.183591,-1460.261817,485.770462,-9215.691294,11052.088267,16465.367850,-4126.221433,2354.979796,-19171.314737,16479.002414,578.664312,-1359.410746,0.006000,-0.018000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795336,0.000000
216.000000,16242.006867,19153.410989,-16246.991306,987.723587,-15526.125196,-1472.667035,475.063977,-9240.971117,11039.034848,16452.247376,-4129.149512,2352.185828,-19181.261263,16468.318280,616.729333,-1297.250545,0.012000,-0.010000,1.008000,192.000000,0.000000,48.000000,127.500000,88.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1775738093.795398,0.000000
218.000000,16264.336260,19167.403181,-16212.994303,1007.706047,-15503.482879,-1466.497954,490.620791,-9212.942030,11080.653796,16466.038402,-4137.218492,2356.253845,-19196.326339,16470.486399,651.776868,-1233.995108,0.012000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795439,0.000000
220.000000,16248.444170,19150.169987,-16229.311076,996.507823,-15517.989161,-1479.663131,483.915267,-9224.788454,11022.628668,16457.589442,-4113.346829,2358.600778,-19163.178702,16468.854722,538.140600,-1421.548596,0.012000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795515,0.000000
222.000000,16236.173062,19143.352704,-16245.270222,994.451463,-15530.394379,-1477.673826,486.083387,-9239.697068,11064.471133,16447.531157,-4153.557617,2348.318976,-19214.073624,16462.797399,664.763232,-1183.547221,0.012000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795556,0.000000
224.000000,16245.963126,19142.257469,-16212.368454,1010.879995,-15510.411919,-1477.964399,487.469195,-9221.860376,11038.252537,16453.141445,-4131.094114,2352.051717,-19182.065926,16467.066582,561.632283,-1367.390319,0.012000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795597,0.000000
226.000000,16227.053550,19134.255544,-16251.774579,989.332913,-15537.189309,-1485.899268,474.683997,-9252.415210,11026.562575,16439.819806,-4139.408963,2344.697993,-19188.011490,16464.205559,598.512661,-1309.633411,0.008000,-0.010000,1.010000,192.000000,0.000000,32.000000,127.500000,88.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1775738093.795638,0.000000
228.000000,16250.120550,19152.785141,-16216.034140,1007.884861,-15509.897829,-1480.937181,486.351608,-9226.017800,11073.009500,16456.583614,-4147.120314,2348.587197,-19197.712147,16469.368812,649.564046,-1236.118524,0.008000,-0.010000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795679,0.000000
230.000000,16243.012696,19146.124321,-16227.992323,994.697332,-15518.972638,-1487.776814,475.689825,-9232.991544,11023.120406,16451.487416,-4116.230204,2353.348118,-19154.059190,16466.977175,547.751850,-1424.499026,0.008000,-0.010000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795721,0.000000
232.000000,16242.923289,19154.461521,-16241.828053,998.474777,-15522.593620,-1470.230695,482.037721,-9239.138274,11074.797639,16449.788684,-4149.847227,2347.983700,-19200.886095,16463.669117,686.086796,-1182.608447,0.008000,-0.010000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795762,0.000000
234.000000,16250.545234,19152.561623,-16210.312094,1017.786684,-15496.956169,-1463.905151,486.597477,-9221.838024,11047.170883,16465.546663,-4129.440085,2359.181924,-19171.560606,16478.711841,576.764414,-1353.331072,0.008000,-0.010000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1775738093.795776,0.000000
