ch4,ch5,ch3
-0.001687,-0.006854,-0.001986
1.4e-05,-0.005077,-0.002067
0.000494,-0.003025,-0.002327
-0.001623,-0.002175,-0.000912
-0.003115,-0.003167,-0.000371
-0.002173,-0.003805,-0.003501
-0.002085,-0.005476,-0.004892
-0.002742,-0.008313,-0.002596
-0.002085,-0.009288,-0.001932
-0.002062,-0.009275,-0.005253
-0.003775,-0.010118,-0.006696
-0.005914,-0.011597,-0.005283
-0.007321,-0.013857,-0.004554
-0.007146,-0.015974,-0.004782
-0.006224,-0.017621,-0.00455
-0.004872,-0.017782,-0.00348
-0.003588,-0.017573,-0.001161
-0.002156,-0.017552,0.000984
-0.001056,-0.018644,0.000516
-0.001701,-0.019647,0.000888
-0.002733,-0.021549,0.001813
-0.003257,-0.022882,0.001353
-0.004155,-0.022539,-0.000655
-0.003407,-0.021826,-0.002279
-0.003196,-0.020886,-0.002321
-0.003504,-0.018624,-0.000936
-0.003681,-0.01758,0.000303
-0.002782,-0.017302,0.001062
-0.002473,-0.017572,0.001163
-0.002513,-0.016277,-0.000374
-0.001668,-0.015419,-0.001852
-0.000265,-0.01523,-0.001537
-0.000171,-0.015653,-0.001187
-0.000722,-0.015877,-0.000996
0.000735,-0.015556,-0.001018
0.000999,-0.014524,-0.001033
-0.000415,-0.012861,-0.000938
-0.002913,-0.01152,-0.000388
-0.004205,-0.011289,-0.000958
-0.003234,-0.010769,-0.001761
-0.002062,-0.008964,-0.001528
-0.002394,-0.00673,-0.001499
-0.002077,-0.006748,-0.002556
-0.00129,-0.008612,-0.002845
-0.001185,-0.009704,-0.002564
-0.000843,-0.010819,-0.003314
-0.001182,-0.013019,-0.004552
-0.001056,-0.014409,-0.004878
-5.4e-05,-0.014399,-0.005012
-8e-06,-0.012614,-0.004427
-0.002184,-0.010731,-0.002977
-0.003245,-0.010468,-0.002644
-0.002539,-0.011113,-0.003507
-0.002732,-0.010276,-0.004373
-0.002986,-0.009292,-0.00412
-0.001198,-0.009729,-0.004086
0.001053,-0.010503,-0.003687
0.000238,-0.011673,-0.003086
-0.001715,-0.012271,-0.00458
0.0005,-0.01221,-0.006868
